Modularity,Eccentricity,Closeness,Harmonic,Betweeness,Clustering,Indegree,Outdegree,Degree,Domain,Proximity,Pageranks,Cluster,Eigenvector
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,0,0.001692
186,1,1,1,211.319444,0.011043,107,2,109,0.018131,0.012616,0.001913,4,0.248505
247,1,1,1,4,0,1,4,5,0.000099,0.000099,0.000073,6,0.001692
247,3,0.521739,0.652778,340.5,0.036791,43,5,48,0.00426,0.00426,0.000598,12,0.086446
0,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,15,0.001692
0,1,1,1,18.5,0.04902,16,2,18,0.001585,0.001585,0.00052,19,0.031961
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,21,0.001692
344,1,1,1,25.666667,0.019592,49,1,50,0.004855,0.004855,0.001455,24,0.098554
1,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,26,0.001692
1,1,1,1,9.5,0.02381,2,5,7,0.000198,0.000198,0.000134,29,0.00371
186,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,35,0.001692
186,1,1,1,16,0.077778,8,2,10,0.000793,0.000793,0.000193,37,0.015817
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,41,0.001692
3,0,0,0,0,0.052381,21,0,21,0.00218,0.002085,0.000472,43,0.043092
79,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,45,0.001692
2,1,1,1,2.75,0,1,2,3,0.000594,0.000324,0.000077,48,0.003895
2,1,1,1,4.25,0.166667,2,2,4,0.000594,0.000357,0.000098,52,0.006115
2,1,1,1,4.5,0.214286,7,1,8,0.000594,0.000594,0.000163,54,0.016776
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,55,0.001692
3,1,1,1,67,0.017715,61,1,62,0.006638,0.005852,0.001889,57,0.126509
4,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,60,0.001692
5,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,62,0.001692
5,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,64,0.00371
315,1,1,1,4,0,1,7,8,0.000099,0.000099,0.000081,67,0.001692
26,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,76,0.001692
26,1,1,1,3,0.166667,3,1,4,0.000297,0.000297,0.000164,78,0.005728
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,81,0.001692
6,1,1,1,2,0,1,2,3,0.000099,0.000099,0.000105,83,0.001692
848,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,87,0.001692
848,1,1,1,4,0.15,4,1,5,0.000594,0.000446,0.000143,89,0.008398
7,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,92,0.001692
7,1,1,1,4,0.15,4,1,5,0.000396,0.000396,0.00011,94,0.007746
7,1,1,1,5,0.233333,5,1,6,0.000495,0.000495,0.000203,97,0.010836
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,100,0.001692
186,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,102,0.001692
186,1,1,1,183,0.133333,5,1,6,0.018131,0.009116,0.000472,104,0.068123
101,1,1,1,4,0.15,4,1,5,0.000396,0.000396,0.000194,106,0.007746
8,1,1,1,4,0,1,4,5,0.000099,0.000099,0.000105,109,0.001692
617,1,1,1,26.5,0.027273,4,7,11,0.000396,0.000396,0.000194,115,0.007746
2,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,124,0.001692
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000065,126,0.001692
3,1,1,1,6,0.1,3,2,5,0.000297,0.000297,0.000126,128,0.005728
9,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,132,0.001692
