Indegree,Outdegree,Degree,Normalized,Domain,Proximity,Modularity,Clusters,Clustering,Eccentricity,Closness,Harmonic,Betweeness
0,1,1,0,0,0,0,0,0,2,0.666667,0.75,0
1,1,2,0.001393,0.001393,0.001393,0,1,0,1,1,1,1
1,0,1,0.001393,0.002786,0.001857,0,2,0,0,0,0,0
0,1,1,0,0,0,1,3,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,1,4,0,0,0,0,0
0,3,3,0,0,0,2,5,0.333333,1,1,1,0
1,2,3,0.001393,0.001393,0.001393,2,6,0.333333,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,2,7,0.5,0,0,0,0
2,0,2,0.002786,0.002786,0.002786,2,8,0.5,0,0,0,0
0,2,2,0,0,0,3,9,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,3,10,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,3,11,0,0,0,0,0
0,1,1,0,0,0,4,12,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,4,13,0,0,0,0,0
0,2,2,0,0,0,5,14,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,5,15,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,5,16,0,0,0,0,0
0,1,1,0,0,0,6,17,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,6,18,0,0,0,0,0
0,1,1,0,0,0,7,19,0,3,0.428571,0.481481,0
1,4,5,0.001393,0.001393,0.001393,7,20,0.15,2,0.666667,0.75,8
7,7,14,0.009749,0.012535,0.010256,7,21,0.043956,1,1,1,53
4,0,4,0.005571,0.013928,0.008193,7,22,0.333333,0,0,0,0
2,0,2,0.002786,0.013928,0.00733,7,23,0.5,0,0,0,0
2,0,2,0.002786,0.013928,0.00733,7,24,0.5,0,0,0,0
0,1,1,0,0,0,8,25,0,2,0.571429,0.625,0
4,3,7,0.005571,0.005571,0.005571,8,26,0.095238,1,1,1,8
0,1,1,0,0,0,9,27,0,2,0.666667,0.75,0
7,1,8,0.009749,0.009749,0.009749,9,28,0,1,1,1,7
1,0,1,0.001393,0.011142,0.005942,9,29,0,0,0,0,0
0,1,1,0,0,0,10,30,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,10,31,0,0,0,0,0
0,1,1,0,0,0,11,32,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,11,33,0,0,0,0,0
0,1,1,0,0,0,12,34,0,1,1,1,0
5,0,5,0.006964,0.006964,0.006964,12,35,0,0,0,0,0
0,1,1,0,0,0,49,36,0,1,1,1,0
4,0,4,0.005571,0.006964,0.005803,49,37,0.083333,0,0,0,0
0,1,1,0,0,0,13,38,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,13,39,0,0,0,0,0
0,4,4,0,0,0,14,40,0,1,1,1,0
1,0,2,0.001393,0.001393,0.001393,14,41,0,0,0,0,0
1,0,2,0.001393,0.001393,0.001393,14,42,0,0,0,0,0
0,2,2,0,0,0,15,43,0,1,1,1,0
3,0,3,0.004178,0.004178,0.004178,15,44,0,0,0,0,0
3,0,3,0.004178,0.004178,0.004178,15,45,0,0,0,0,0
0,2,2,0,0,0,16,46,0,1,1,1,0
15,0,15,0.020891,0.020891,0.020891,16,47,0,0,0,0,0
15,0,15,0.020891,0.020891,0.020891,16,48,0,0,0,0,0
2,2,5,0.002786,0.002786,0.002786,24,49,0.416667,1,1,1,0
3,0,3,0.004178,0.004178,0.004178,24,50,0.333333,0,0,0,0
0,1,1,0,0,0,17,51,0,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,17,52,0,0,0,0,0
0,1,1,0,0,0,18,53,0,1,1,1,0
9,0,9,0.012535,0.012535,0.012535,18,54,0,0,0,0,0
0,2,2,0,0,0,19,55,0,1,1,1,0
3,0,3,0.004178,0.004178,0.004178,19,56,0,0,0,0,0
3,0,3,0.004178,0.004178,0.004178,19,57,0,0,0,0,0
0,3,3,0,0,0,20,58,0.333333,1,1,1,0
1,2,3,0.001393,0.001393,0.001393,20,59,0.333333,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,20,60,0.5,0,0,0,0
2,0,2,0.002786,0.002786,0.002786,20,61,0.5,0,0,0,0
0,6,6,0,0,0,21,62,0.166667,2,0.875,0.928571,0
